tipo,ncm
Etileno ,39011020
Etileno ,39011030
Etileno ,39012011
Etileno ,39012019
Etileno ,39012021
Etileno ,39012029
Etileno ,39013010
Etileno ,39013090
Etileno ,39014000
Etileno ,39019010
Etileno ,39019020
Etileno ,39019030
Etileno ,39019040
Etileno ,39019050
Etileno ,39019090
Etileno ,39161000
Etileno ,39172100
Etileno ,39173210
Etileno ,39173230
Etileno ,39201091
Etileno ,39201099
Etileno ,39219012
Etileno ,39219013
Etileno ,39219020
Estireno,39031110
Estireno,39031120
Estireno,39031900
Estireno,39032000
Estireno,39033010
Estireno,39033020
Estireno,39039010
Estireno,39039020
Estireno,39039090
Estireno,39152000
Estireno,39203000
Estireno,39211100
PVC,39162000
PVC,39041020
PVC,39041090
PVC,39042100
PVC,39042200
PVC,39043000
PVC,39044010
PVC,39044090
PVC,39045010
PVC,39045090
PVC,39046110
PVC,39046190
PVC,39046910
PVC,39046990
PVC,39049010
PVC,39049090
PVC,39153000
PVC,39172300
PVC,39181000
PVC,39191020
PVC,39199020
PVC,39204310
BR,40022010
BR,40022091
BR,40022099
SBR,40021110
SBR,40021120
SBR,40021911
SBR,40021912
SBR,40021920
Obras de Plástico ou Borracha,39221000
Obras de Plástico ou Borracha,39222000
Obras de Plástico ou Borracha,39229000
Obras de Plástico ou Borracha,39231010
Obras de Plástico ou Borracha,39231090
Obras de Plástico ou Borracha,39232110
Obras de Plástico ou Borracha,39232190
Obras de Plástico ou Borracha,39232910
Obras de Plástico ou Borracha,39232990
Obras de Plástico ou Borracha,39233010
Obras de Plástico ou Borracha,39233090
Obras de Plástico ou Borracha,39234000
Obras de Plástico ou Borracha,39235000
Obras de Plástico ou Borracha,39239010
Obras de Plástico ou Borracha,39239090
Obras de Plástico ou Borracha,39241000
Obras de Plástico ou Borracha,39249000
Obras de Plástico ou Borracha,39251000
Obras de Plástico ou Borracha,39252000
Obras de Plástico ou Borracha,39253000
Obras de Plástico ou Borracha,39259010
Obras de Plástico ou Borracha,39259090
Obras de Plástico ou Borracha,39261000
Obras de Plástico ou Borracha,39262000
Obras de Plástico ou Borracha,39263000
Obras de Plástico ou Borracha,39264000
Obras de Plástico ou Borracha,39269010
Obras de Plástico ou Borracha,39269021
Obras de Plástico ou Borracha,39269022
Obras de Plástico ou Borracha,39269061
Obras de Plástico ou Borracha,40112010
Obras de Plástico ou Borracha,40112090
Obras de Plástico ou Borracha,40113000
Obras de Plástico ou Borracha,40115000
Obras de Plástico ou Borracha,40114000
Obras de Plástico ou Borracha,40118010
Obras de Plástico ou Borracha,40118020
Obras de Plástico ou Borracha,40118090
Obras de Plástico ou Borracha,40119010
Obras de Plástico ou Borracha,40119090
Obras de Plástico ou Borracha,40117010
Obras de Plástico ou Borracha,40117090
